"Dia" "Horario" "Competição" "Mandante" "GolsMandante" "GolsVisitante" "Visitante" "Resultado" "Situação" "Minutos" "ImagemMandante" "ImagemVisitante"
"28" "11-09-2021" NA "Francês" "Monaco" 0 2 "Olympique" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/monaco.png" "https://e.imguol.com/futebol/brasoes/40x40/olympique.png"
"29" "11-09-2021" NA "Série D" "Caldense-MG" 1 0 "Aparecidense" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/caldense-mg.png" "https://e.imguol.com/futebol/brasoes/40x40/aparecidense.png"
"30" "11-09-2021" NA "Série D" "União Rondonópolis" 2 0 "Boa Esporte" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/uniao-rondonopolis.png" "https://e.imguol.com/futebol/brasoes/40x40/boa-esporte.png"
"31" "11-09-2021" NA "Série D" "Esportivo" 0 1 "Santo André" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/esportivo.png" "https://e.imguol.com/futebol/brasoes/40x40/santo-andre.png"
"32" "11-09-2021" NA "Série B" "Sampaio Corrêa-MA" 0 0 "Operário-PR" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/sampaio-correa-ma.png" "https://e.imguol.com/futebol/brasoes/40x40/operario-pr.png"
"33" "11-09-2021" NA "Série B" "Botafogo" 4 0 "Londrina" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/botafogo.png" "https://e.imguol.com/futebol/brasoes/40x40/londrina.png"
"34" "11-09-2021" NA "Brasileirão" "Juventude" 1 2 "Cuiabá" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/juventude.png" "https://e.imguol.com/futebol/brasoes/40x40/cuiaba.png"
"35" "11-09-2021" NA "Série C" "Santa Cruz-PE" 0 1 "Altos-PI" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/santa-cruz-pe.png" "https://e.imguol.com/futebol/brasoes/40x40/altos-pi.png"
"36" "11-09-2021" NA "Série C" "Novorizontino" 1 0 "Ypiranga-RS" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/novorizontino.png" "https://e.imguol.com/futebol/brasoes/40x40/ypiranga-rs.png"
"37" "11-09-2021" NA "Brasileirão" "Red Bull Bragantino" 1 2 "Chapecoense" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/red-bull-bragantino.png" "https://e.imguol.com/futebol/brasoes/40x40/chapecoense.png"
"38" "11-09-2021" NA "Série C" "Criciúma" 0 0 "Botafogo-RP" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/criciuma.png" "https://e.imguol.com/futebol/brasoes/40x40/botafogo-rp.png"
"39" "11-09-2021" NA "Brasileirão" "Santos" 0 0 "Bahia" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/santos.png" "https://e.imguol.com/futebol/brasoes/40x40/bahia.png"
"40" "11-09-2021" NA "Série B" "CRB" 0 1 "Goiás" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/crb.png" "https://e.imguol.com/futebol/brasoes/40x40/goias.png"
"41" "11-09-2021" NA "Série C" "Jacuipense-BA" 1 0 "Volta Redonda" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/jacuipense-ba.png" "https://e.imguol.com/futebol/brasoes/40x40/volta-redonda.png"
"110" "12-09-2021" NA "Italiano" "Sampdoria" 2 2 "Internazionale" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/sampdoria.png" "https://e.imguol.com/futebol/brasoes/40x40/internazionale.png"
"111" "12-09-2021" NA "Francês" "Montpellier" 2 0 "Saint-Étienne" "M" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/montpellier.png" "https://e.imguol.com/futebol/brasoes/40x40/saint-etienne.png"
"112" "12-09-2021" NA "La Liga" "Espanyol" 1 2 "Atlético de Madri" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/espanyol.png" "https://e.imguol.com/futebol/brasoes/40x40/atletico-de-madri.png"
"113" "12-09-2021" NA "Francês" "Bordeaux" 2 3 "Lens" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/bordeaux.png" "https://e.imguol.com/futebol/brasoes/40x40/lens.png"
"114" "12-09-2021" NA "Francês" "Brest" 1 1 "Angers" "E" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/brest.png" "https://e.imguol.com/futebol/brasoes/40x40/angers.png"
"115" "12-09-2021" NA "Francês" "Metz" 0 2 "Troyes" "V" "Encerrado" NA "https://e.imguol.com/futebol/brasoes/40x40/metz.png" "https://e.imguol.com/futebol/brasoes/40x40/troyes.png"
